codigo_postal,nombre_del_lugar_del_código_postal,comunidad_autónoma,provincia
28607,El Álamo,Comunidad de Madrid,Comunidad de Madrid
28609,Sevilla la Nueva,Comunidad de Madrid,Comunidad de Madrid
28610,Villamanta,Comunidad de Madrid,Comunidad de Madrid
28620,Aldea del Fresno,Comunidad de Madrid,Comunidad de Madrid
28630,Villa del Prado,Comunidad de Madrid,Comunidad de Madrid
28640,Cadalso de los Vidrios,Comunidad de Madrid,Comunidad de Madrid
28648,Cadalso de los Vidrios,Comunidad de Madrid,Comunidad de Madrid
28649,Rozas de Puerto Real,Comunidad de Madrid,Comunidad de Madrid
28650,Cenicientos,Comunidad de Madrid,Comunidad de Madrid
28660,Boadilla del Monte,Comunidad de Madrid,Comunidad de Madrid
28668,Boadilla del Monte,Comunidad de Madrid,Comunidad de Madrid
28669,Boadilla del Monte,Comunidad de Madrid,Comunidad de Madrid
28670,Villaviciosa de Odón,Comunidad de Madrid,Comunidad de Madrid
28679,Villaviciosa de Odón,Comunidad de Madrid,Comunidad de Madrid
28680,San Martín de Valdeiglesias,Comunidad de Madrid,Comunidad de Madrid
28690,Brunete,Comunidad de Madrid,Comunidad de Madrid
28691,Villanueva de la Cañada,Comunidad de Madrid,Comunidad de Madrid
28692,Villanueva de la Cañada,Comunidad de Madrid,Comunidad de Madrid
28693,Quijorna,Comunidad de Madrid,Comunidad de Madrid
28694,Chapinería,Comunidad de Madrid,Comunidad de Madrid
28695,Navas del Rey,Comunidad de Madrid,Comunidad de Madrid
28696,Pelayos de la Presa,Comunidad de Madrid,Comunidad de Madrid
28701,San Sebastián de los Reyes,Comunidad de Madrid,Comunidad de Madrid
28702,San Sebastián de los Reyes,Comunidad de Madrid,Comunidad de Madrid
28703,San Sebastián de los Reyes,Comunidad de Madrid,Comunidad de Madrid
28706,San Sebastián de los Reyes,Comunidad de Madrid,Comunidad de Madrid
28707,San Sebastián de los Reyes,Comunidad de Madrid,Comunidad de Madrid
28708,San Sebastián de los Reyes,Comunidad de Madrid,Comunidad de Madrid
28709,San Sebastián de los Reyes,Comunidad de Madrid,Comunidad de Madrid
28710,El Molar,Comunidad de Madrid,Comunidad de Madrid
28720,Bustarviejo,Comunidad de Madrid,Comunidad de Madrid
28721,Cabanillas de la Sierra,Comunidad de Madrid,Comunidad de Madrid
28722,El Vellón,Comunidad de Madrid,Comunidad de Madrid
28723,Pedrezuela,Comunidad de Madrid,Comunidad de Madrid
28729,Venturada,Comunidad de Madrid,Comunidad de Madrid
28730,Buitrago del Lozoya,Comunidad de Madrid,Comunidad de Madrid
28737,Piñuécar-Gandullas,Comunidad de Madrid,Comunidad de Madrid
28739,Gargantilla del Lozoya y Pinilla de Buitrago,Comunidad de Madrid,Comunidad de Madrid
28740,Rascafría,Comunidad de Madrid,Comunidad de Madrid
28741,Rascafría,Comunidad de Madrid,Comunidad de Madrid
28742,Lozoya,Comunidad de Madrid,Comunidad de Madrid
28743,Canencia,Comunidad de Madrid,Comunidad de Madrid
28749,Alameda del Valle,Comunidad de Madrid,Comunidad de Madrid
28750,San Agustín del Guadalix,Comunidad de Madrid,Comunidad de Madrid
28751,La Cabrera,Comunidad de Madrid,Comunidad de Madrid
28752,Lozoyuela-Navas-Sieteiglesias,Comunidad de Madrid,Comunidad de Madrid
28753,Lozoyuela-Navas-Sieteiglesias,Comunidad de Madrid,Comunidad de Madrid
28754,Puentes Viejas,Comunidad de Madrid,Comunidad de Madrid
28755,Horcajo de la Sierra-Aoslos,Comunidad de Madrid,Comunidad de Madrid
28756,Somosierra,Comunidad de Madrid,Comunidad de Madrid
28760,Tres Cantos,Comunidad de Madrid,Comunidad de Madrid
28770,Colmenar Viejo,Comunidad de Madrid,Comunidad de Madrid
28791,Soto del Real,Comunidad de Madrid,Comunidad de Madrid
28792,Miraflores de la Sierra,Comunidad de Madrid,Comunidad de Madrid
28793,Miraflores de la Sierra,Comunidad de Madrid,Comunidad de Madrid
28794,Guadalix de la Sierra,Comunidad de Madrid,Comunidad de Madrid
28801,Alcalá de Henares,Comunidad de Madrid,Comunidad de Madrid
28802,Alcalá de Henares,Comunidad de Madrid,Comunidad de Madrid
28803,Alcalá de Henares,Comunidad de Madrid,Comunidad de Madrid
28804,Alcalá de Henares,Comunidad de Madrid,Comunidad de Madrid
28805,Alcalá de Henares,Comunidad de Madrid,Comunidad de Madrid
28806,Alcalá de Henares,Comunidad de Madrid,Comunidad de Madrid
28807,Alcalá de Henares,Comunidad de Madrid,Comunidad de Madrid
28810,Villalbilla,Comunidad de Madrid,Comunidad de Madrid
28811,Corpa,Comunidad de Madrid,Comunidad de Madrid
28812,Pezuela de las Torres,Comunidad de Madrid,Comunidad de Madrid
28813,Torres de la Alameda,Comunidad de Madrid,Comunidad de Madrid
28814,Daganzo de Arriba,Comunidad de Madrid,Comunidad de Madrid
28815,Fresno de Torote,Comunidad de Madrid,Comunidad de Madrid
28816,Camarma de Esteruelas,Comunidad de Madrid,Comunidad de Madrid
28817,Los Santos de la Humosa,Comunidad de Madrid,Comunidad de Madrid
